ADM2_PCODE,year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus,RP10_female_pop_30cm,RP10_children_u5_30cm,RP10_female_u5_30cm,RP10_elderly_30cm,RP10_pop_u15_30cm,RP10_female_u15_30cm,RP10_education_30cm_pct,RP10_education_30cm_count,RP10_hospitals_30cm_pct,RP10_hospitals_30cm_count,RP10_primary_healthcare_30cm_pct,RP10_primary_healthcare_30cm_count,RP50_female_pop_30cm,RP50_children_u5_30cm,RP50_female_u5_30cm,RP50_elderly_30cm,RP50_pop_u15_30cm,RP50_female_u15_30cm,RP50_education_30cm_pct,RP50_education_30cm_count,RP50_hospitals_30cm_pct,RP50_hospitals_30cm_count,RP50_primary_healthcare_30cm_pct,RP50_primary_healthcare_30cm_count,RP100_female_pop_30cm,RP100_children_u5_30cm,RP100_female_u5_30cm,RP100_elderly_30cm,RP100_pop_u15_30cm,RP100_female_u15_30cm,RP100_education_30cm_pct,RP100_education_30cm_count,RP100_hospitals_30cm_pct,RP100_hospitals_30cm_count,RP100_primary_healthcare_30cm_pct,RP100_primary_healthcare_30cm_count,RP500_female_pop_30cm,RP500_children_u5_30cm,RP500_female_u5_30cm,RP500_elderly_30cm,RP500_pop_u15_30cm,RP500_female_u15_30cm,RP500_education_30cm_pct,RP500_education_30cm_count,RP500_hospitals_30cm_pct,RP500_hospitals_30cm_count,RP500_primary_healthcare_30cm_pct,RP500_primary_healthcare_30cm_count,education_count,hospitals_count,primary_healthcare_count,female_pop_rural,children_u5_rural,female_u5_rural,elderly_rural,pop_u15_rural,female_u15_rural,rural_pop_perc,access_pop_education_5km,access_pop_education_10km,access_pop_education_20km,access_pop_hospitals_30min,access_pop_hospitals_1h,access_pop_hospitals_2h,access_pop_primary_healthcare_30min,access_pop_primary_healthcare_1h,access_pop_primary_healthcare_2h,n_zones,has_zone
PH012800000,2025,PHL,Philippines,PH,REGION I (ILOCOS REGION),PH010000000,Ilocos Norte,312510,315690,628200,22477,23200,24031,26528,23975,23354,24030,23309,21679,19353,17203,15855,13400,10963,8735,6371,8047,23846,24694,25647,28616,25855,25134,24727,23520,22548,19971,17891,16099,12864,9646,6501,4005,4126,46323,47894,49678,55144,49830,48488,48757,46829,44227,39324,35094,31954,26264,20609,15236,10376,12173,38305,6544,3124,6295,19296,9371,8,41,0,0,4,1,57070,9775,4675,9411,28833,14009,14,65,0,0,7,2,65401,11210,5363,10785,33070,16070,15,72,0,0,11,3,84979,14544,6960,13974,42806,20802,20,98,13,3,22,6,480,23,27,41772,7468,3556,7403,22503,10896,14.83,587751,602541,609514,588470,610443,614774,591028,610948,614897,1,1
PH012900000,2025,PHL,Philippines,PH,REGION I (ILOCOS REGION),PH010000000,Ilocos Sur,366001,369052,735053,27096,28960,30039,30945,27642,27035,28621,26381,25640,22438,19379,17644,15549,12592,9916,7140,8984,28659,30723,31915,33062,29702,28083,29376,27245,25768,23457,20047,18199,15097,11331,7588,4555,4245,55755,59683,61954,64007,57344,55118,57997,53626,51408,45895,39426,35843,30646,23923,17504,11695,13229,41434,6578,3173,7083,20225,9780,8,45,0,0,7,1,55476,8891,4294,9468,27280,13208,9,55,4,1,7,1,60151,9658,4666,10255,29618,14343,11,65,4,1,14,2,72414,11706,5655,12291,35828,17352,14,81,26,6,14,2,594,23,14,30605,5416,2614,5489,16659,8094,9.71,639143,659640,665585,642323,671276,684399,629441,670919,684687,0,0
PH013300000,2025,PHL,Philippines,PH,REGION I (ILOCOS REGION),PH010000000,La Union,426808,432753,859561,32986,34429,35023,36748,33675,33688,33813,30625,28296,24918,21978,20401,17879,14854,10938,8123,8434,34886,36610,37221,38870,35920,35904,35523,31707,29188,25841,22534,20554,16943,13091,8579,5220,4162,67872,71039,72244,75618,69595,69592,69336,62332,57484,50759,44512,40955,34822,27945,19517,13343,12596,19590,3899,1850,2833,11470,5531,3,13,0,0,0,0,30255,5995,2848,4344,17624,8499,5,24,0,0,0,0,33476,6614,3142,4816,19450,9378,6,26,0,0,3,1,38414,7549,3585,5530,22203,10706,7,31,0,0,3,1,468,15,33,11679,2253,1069,1830,6747,3260,3.69,683897,711177,719356,702988,719017,722442,706656,719130,722549,0,0
PH015500000,2025,PHL,Philippines,PH,REGION I (ILOCOS REGION),PH010000000,Pangasinan,1598969,1636280,3235249,160462,164885,164395,138413,123821,122547,118168,102405,92288,83003,74940,66731,55174,44897,33900,26463,26477,169869,175505,175377,148165,132423,128255,124017,105960,93925,85087,76875,68101,54232,40884,27177,17268,13160,330331,340390,339772,286578,256244,250802,242185,208365,186213,168090,151815,134832,109406,85781,61077,43731,39637,367478,77155,37939,44800,225847,110978,12,193,14,9,12,14,519320,109126,53634,63181,319047,156752,20,309,29,18,26,30,559203,117546,57774,68052,343627,168834,21,335,33,21,31,36,623322,131062,64408,76032,383154,188224,24,379,36,23,37,43,1583,63,115,81564,16624,8185,11565,48961,23994,5.21,3422680,3598326,3633340,3608270,3644950,3657058,3582164,3642512,3656882,4,1
PH020900000,2025,PHL,Philippines,PH,REGION II (CAGAYAN VALLEY),PH020000000,Batanes,9186,9385,18571,1067,1041,998,731,715,766,580,459,435,420,477,363,340,244,206,144,200,1131,1101,1055,728,738,763,649,506,471,490,455,410,323,213,159,96,97,2198,2142,2053,1459,1453,1529,1229,965,906,910,932,773,663,457,365,240,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,1,2547,606,293,405,1736,829,40.63,12899,12899,13244,12505,13024,13494,10520,10721,11190,0,0
PH021500000,2025,PHL,Philippines,PH,REGION II (CAGAYAN VALLEY),PH020000000,Cagayan,656300,674099,1330399,57860,60014,60057,53734,50905,52691,52749,45462,39550,36545,32614,29278,26787,22113,15952,9929,10060,61264,63509,63530,57329,55218,56750,55921,47893,41102,37285,33755,29615,25833,19868,12806,6799,5622,119124,123523,123587,111063,106123,109441,108670,93355,80652,73830,66369,58893,52620,41981,28758,16728,15682,174410,37807,17719,24754,109636,52830,26,237,37,11,28,10,227707,49250,23103,32149,143609,69217,38,349,47,14,33,12,243089,52592,24685,34114,153641,74058,40,367,47,14,33,12,271632,58663,27555,37763,171895,82870,44,407,50,15,36,13,930,30,36,99289,22113,10426,13171,65415,31536,17.84,1109771,1169668,1261775,1153419,1300804,1311276,1176213,1298288,1311452,0,0
PH023100000,2025,PHL,Philippines,PH,REGION II (CAGAYAN VALLEY),PH020000000,Isabela,864095,892566,1756661,77945,81480,82388,71522,66211,66457,68269,60931,52934,49778,44181,39594,34053,26828,18947,11847,10730,82517,86179,87281,76438,72151,71092,71867,63794,54721,51707,45782,40292,33576,25004,15634,8473,6058,160462,167659,169669,147960,138362,137549,140136,124725,107655,101485,89963,79886,67629,51832,34581,20320,16788,28857,6351,3020,2832,19270,9317,1,7,0,0,0,0,42591,9342,4450,4196,28392,13734,2,21,0,0,0,0,52710,11594,5534,5178,35261,17071,3,35,0,0,0,0,73018,16088,7691,7202,48992,23733,5,55,8,3,0,0,1200,39,20,139073,30470,14496,13997,92819,44838,18.26,1661734,1736721,1785928,1656771,1788930,1797628,1526235,1788556,1800513,1,1
PH025000000,2025,PHL,Philippines,PH,REGION II (CAGAYAN VALLEY),PH020000000,Nueva Vizcaya,249726,256989,506715,23797,24363,24239,22305,20030,19279,19435,17243,15098,13352,11734,10655,9304,7389,5259,3283,2961,25218,25771,25651,22444,21145,20537,19825,17646,16028,14432,12522,11127,9088,6977,4419,2451,1708,49015,50134,49890,44749,41175,39816,39260,34889,31126,27784,24256,21782,18392,14366,9678,5734,4669,15532,3181,1499,1830,9329,4502,0,1,0,0,0,0,17432,3559,1678,2056,10434,5036,1,3,10,1,0,0,18352,3744,1765,2167,10973,5296,1,4,10,1,0,0,20858,4248,2001,2471,12445,6006,1,4,10,1,0,0,411,10,22,45264,10098,4860,4877,30062,14620,23.71,378135,412095,428413,413433,436081,446966,410461,433998,443502,0,0
PH025700000,2025,PHL,Philippines,PH,REGION II (CAGAYAN VALLEY),PH020000000,Quirino,100319,104479,204798,10413,10629,10438,8054,7586,7668,8248,6878,5971,5456,4733,3878,3513,2837,1855,1111,1051,11027,11352,11177,8636,8303,8185,8231,7229,6278,5738,4906,4200,3393,2672,1702,832,618,21440,21981,21615,16690,15889,15853,16479,14107,12249,11194,9639,8078,6906,5509,3557,1943,1669,4057,929,453,375,2739,1332,0,0,0,0,0,0,5127,1173,572,475,3460,1683,0,0,0,0,0,0,5771,1314,641,540,3887,1892,0,1,0,0,0,0,6294,1434,700,588,4240,2064,1,2,0,0,0,0,187,2,6,15692,3499,1705,1498,10439,5092,18.48,179366,186186,193388,189994,194302,195614,183984,194481,195209,0,0
PH030800000,2025,PHL,Philippines,PH,REGION III (CENTRAL LUZON),PH030000000,Bataan,444760,451924,896684,37513,38514,38778,37931,36951,36347,34959,32015,29188,26777,22326,20676,17377,14192,9973,6199,5044,39731,40949,41360,39777,39183,38629,36407,33227,29860,26986,22316,20120,16021,12291,7737,4462,2868,77244,79463,80138,77708,76134,74976,71366,65242,59048,53763,44642,40796,33398,26483,17710,10661,7912,19399,3734,1800,2176,10822,5288,0,1,0,0,0,0,22000,4231,2040,2447,12254,5990,0,1,0,0,0,0,22857,4405,2125,2524,12733,6224,2,4,0,0,0,0,27650,5384,2596,3026,15553,7596,3,7,0,0,0,0,257,17,21,29239,6163,2970,2538,17158,8330,7.7,771355,796407,805026,776678,813822,833953,792600,817072,833479,6,1
