ADM2_PCODE,ADM_PCODE,access_pop_education_5km,access_pop_education_10km,access_pop_education_20km,access_pop_hospitals_30min,access_pop_hospitals_1h,access_pop_hospitals_2h,access_pop_primary_healthcare_30min,access_pop_primary_healthcare_1h,access_pop_primary_healthcare_2h
PH01028,PH01028,587751,602541,609514,588470,610443,614774,591028,610948,614897
PH01029,PH01029,639143,659640,665585,642323,671276,684399,629441,670919,684687
PH01033,PH01033,683897,711177,719356,702988,719017,722442,706656,719130,722549
PH01055,PH01055,3422680,3598326,3633340,3608270,3644950,3657058,3582164,3642512,3656882
PH02009,PH02009,12899,12899,13244,12505,13024,13494,10520,10721,11190
PH02015,PH02015,1109771,1169668,1261775,1153419,1300804,1311276,1176213,1298288,1311452
PH02031,PH02031,1661734,1736721,1785928,1656771,1788930,1797628,1526235,1788556,1800513
PH02050,PH02050,378135,412095,428413,413433,436081,446966,410461,433998,443502
PH02057,PH02057,179366,186186,193388,189994,194302,195614,183984,194481,195209
PH03008,PH03008,771355,796407,805026,776678,813822,833953,792600,817072,833479
PH03014,PH03014,3258187,3399218,3460782,3458257,3477162,3481192,3458480,3476890,3481193
PH03049,PH03049,2382790,2501312,2524376,2506513,2536169,2545212,2395800,2526888,2545088
PH03054,PH03054,2577718,2700136,2720731,2717561,2744444,2776130,2718899,2744618,2775857
PH03069,PH03069,1460466,1490518,1495870,1489980,1507292,1511204,1481908,1507600,1511199
PH03071,PH03071,886935,915761,924821,891466,927077,942284,902720,930856,942614
PH03077,PH03077,218177,223817,228416,208667,229856,232356,189670,205929,208752
PH04010,PH04010,3015696,3093794,3135496,3109734,3137646,3143666,3092044,3140240,3143666
PH04021,PH04021,3349797,4546960,4715822,4707003,4710596,4714478,4705942,4711096,4714328
PH04034,PH04034,3301890,3756371,3788128,3784368,3808634,3833829,3788670,3808320,3833829
PH04056,PH04056,1811372,1887648,1964131,1837842,2041953,2087609,1770790,1980263,2052430
PH04058,PH04058,2266166,3178708,3219666,3215324,3228634,3251451,3188870,3203315,3251451
PH05005,PH05005,1207756,1289120,1307058,1298598,1330367,1346994,1252747,1323827,1338769
PH05016,PH05016,505709,546317,580114,549611,590978,604578,511429,588348,604814
PH05017,PH05017,1988556,2178398,2299020,2173403,2330426,2383924,2146548,2282431,2384465
PH05020,PH05020,213603,221142,227320,216709,241450,245385,136087,191395,244032
PH05041,PH05041,678591,704676,768553,533394,798803,902405,575530,728383,828434
PH05062,PH05062,689363,749055,811525,791825,835275,845968,776626,834707,846776
PH06004,PH06004,567645,591704,603280,590185,608261,617983,575778,606056,618078
PH06006,PH06006,454679,470818,506296,484858,511719,527755,445620,508249,526764
PH06019,PH06019,688330,712152,743934,706237,732643,753379,714041,734718,753379
PH06030,PH06030,2170033,2249773,2291698,2252436,2278123,2289920,2256748,2282576,2290649
PH06045,PH06045,2957426,3108774,3196317,3059072,3215332,3285182,2668027,3158766,3285290
PH06079,PH06079,156218,182480,188476,180231,182409,189213,174372,182107,190550
PH07012,PH07012,984927,1024184,1091719,1051573,1097813,1112305,1066085,1100614,1113866
PH07022,PH07022,5040910,5326532,5412246,5288786,5375130,5403922,5244212,5368870,5402524
PH07046,PH07046,1119996,1180549,1255692,1197624,1292217,1337838,1011139,1283648,1335010
PH07061,PH07061,67116,71254,74941,74941,74941,75699,74877,75045,75699
PH08026,PH08026,278119,283544,316914,307197,328418,341618,274000,328684,341374
PH08037,PH08037,1735991,1890652,1975430,1907401,1987658,2033658,1902088,1991183,2034778
PH08048,PH08048,468028,485412,540426,450334,544926,586200,469150,548747,588786
PH08060,PH08060,470729,498622,550825,499820,549606,636468,496429,553241,638144
PH08064,PH08064,255736,264854,296101,290763,317655,321472,283607,317576,321401
PH08078,PH08078,167208,170470,198152,163792,206369,213871,187141,207277,213712
PH09072,PH09072,666419,726851,790403,634863,810601,881438,512935,680934,868115
PH09073,PH09073,1662500,1731738,1814770,1622263,1861556,1906421,1490328,1827940,1906457
PH09083,PH09083,419517,476562,561511,478771,623666,683742,221082,490054,673120
PH09097,PH09097,65748,66177,67916,64835,67284,72065,62901,64457,69289
PH10013,PH10013,1606042,1782724,1880160,1720578,1922509,1990058,1751036,1932960,2000286
PH10018,PH10018,80225,80943,86567,86051,88693,88693,85425,88693,88693
PH10035,PH10035,840946,912336,959037,948281,980148,999042,954671,983917,998982
PH10042,PH10042,518686,533045,547727,535282,551736,555954,524870,549172,556309
PH10043,PH10043,1763054,1817140,1844457,1781192,1861494,1879908,1708420,1866297,1880305
PH11023,PH11023,1296270,1349572,1378394,1337734,1378394,1404373,1327236,1378779,1404616
PH11024,PH11024,2389476,2446308,2466278,2447240,2469711,2487112,2450024,2469811,2487337
PH11025,PH11025,475432,502619,515173,483623,555819,594343,263708,529737,594901
PH11082,PH11082,808342,889377,918425,789898,923533,938090,734666,927512,937263
PH11086,PH11086,222396,223950,228346,128981,199239,251545,133066,197582,240024
PH12047,PH12047,1126972,1209988,1240283,1182472,1256700,1300590,1131962,1249904,1300598
PH12063,PH12063,1583142,1688356,1701945,1620368,1713025,1714512,1666723,1712942,1714512
PH12065,PH12065,769909,804180,819319,769867,858556,898586,708474,846502,900327
PH12080,PH12080,403851,427703,459612,421760,467210,478992,401376,469326,479757
PH13039,PH13039,234113,1385810,1863839,1863035,1863842,1863852,1863029,1863844,1863852
