ADM2_PCODE,ADM_PCODE,education_count,hospitals_count,primary_healthcare_count
PH01028,PH01028,480,23,27
PH01029,PH01029,594,23,14
PH01033,PH01033,468,15,33
PH01055,PH01055,1583,63,115
PH02009,PH02009,27,2,1
PH02015,PH02015,930,30,36
PH02031,PH02031,1200,39,20
PH02050,PH02050,411,10,22
PH02057,PH02057,187,2,6
PH03008,PH03008,257,17,21
PH03014,PH03014,867,100,134
PH03049,PH03049,1022,38,59
PH03054,PH03054,934,78,551
PH03069,PH03069,670,30,68
PH03071,PH03071,399,19,34
PH03077,PH03077,187,5,5
PH04010,PH04010,1225,86,182
PH04021,PH04021,845,91,192
PH04034,PH04034,825,75,149
PH04056,PH04056,1126,34,49
PH04058,PH04058,585,51,95
PH05005,PH05005,750,31,61
PH05016,PH05016,328,12,9
PH05017,PH05017,1240,28,34
PH05020,PH05020,261,12,4
PH05041,PH05041,724,11,17
PH05062,PH05062,614,19,9
PH06004,PH06004,425,15,27
PH06006,PH06006,573,17,12
PH06019,PH06019,538,20,43
PH06030,PH06030,1415,37,132
PH06045,PH06045,1315,37,37
PH06079,PH06079,124,3,3
PH07012,PH07012,1185,30,78
PH07022,PH07022,1845,74,149
PH07046,PH07046,953,22,29
PH07061,PH07061,87,3,6
PH08026,PH08026,551,19,26
PH08037,PH08037,1555,50,149
PH08048,PH08048,606,10,25
PH08060,PH08060,949,16,20
PH08064,PH08064,453,23,23
PH08078,PH08078,155,1,3
PH09072,PH09072,825,12,17
PH09073,PH09073,1125,27,33
PH09083,PH09083,493,10,9
PH09097,PH09097,51,4,0
PH10013,PH10013,801,31,54
PH10018,PH10018,54,1,2
PH10035,PH10035,483,19,38
PH10042,PH10042,528,17,21
PH10043,PH10043,688,25,49
PH11023,PH11023,434,29,34
PH11024,PH11024,859,58,214
PH11025,PH11025,395,7,4
PH11082,PH11082,413,8,15
PH11086,PH11086,170,2,3
PH12047,PH12047,780,31,17
PH12063,PH12063,595,36,53
PH12065,PH12065,414,14,12
PH12080,PH12080,305,7,5
PH13039,PH13039,218,42,115
PH13074,PH13074,712,100,366
PH13075,PH13075,360,42,122
PH13076,PH13076,557,70,300
PH14001,PH14001,325,2,5
PH14011,PH14011,573,27,81
PH14027,PH14027,284,10,5
PH14032,PH14032,293,6,3
PH14044,PH14044,267,7,10
PH14081,PH14081,199,6,2
PH16002,PH16002,384,16,21
PH16003,PH16003,565,14,15
PH16067,PH16067,437,14,24
PH16068,PH16068,554,7,26
PH16085,PH16085,141,3,9
PH17040,PH17040,228,7,5
PH17051,PH17051,351,11,15
PH17052,PH17052,582,16,24
PH17053,PH17053,869,20,43
PH17059,PH17059,263,7,9
PH19007,PH19007,231,3,8
PH19036,PH19036,181,6,11
PH19066,PH19066,124,5,4
PH19070,PH19070,239,3,4
PH19087,PH19087,157,11,10
PH19088,PH19088,119,5,1
PH19099,PH19099,91,0,1
