ADM2_PCODE,ADM_PCODE,RP10_female_pop_30cm,RP10_children_u5_30cm,RP10_female_u5_30cm,RP10_elderly_30cm,RP10_pop_u15_30cm,RP10_female_u15_30cm,RP10_education_30cm_pct,RP10_education_30cm_count,RP10_hospitals_30cm_pct,RP10_hospitals_30cm_count,RP10_primary_healthcare_30cm_pct,RP10_primary_healthcare_30cm_count,RP50_female_pop_30cm,RP50_children_u5_30cm,RP50_female_u5_30cm,RP50_elderly_30cm,RP50_pop_u15_30cm,RP50_female_u15_30cm,RP50_education_30cm_pct,RP50_education_30cm_count,RP50_hospitals_30cm_pct,RP50_hospitals_30cm_count,RP50_primary_healthcare_30cm_pct,RP50_primary_healthcare_30cm_count,RP100_female_pop_30cm,RP100_children_u5_30cm,RP100_female_u5_30cm,RP100_elderly_30cm,RP100_pop_u15_30cm,RP100_female_u15_30cm,RP100_education_30cm_pct,RP100_education_30cm_count,RP100_hospitals_30cm_pct,RP100_hospitals_30cm_count,RP100_primary_healthcare_30cm_pct,RP100_primary_healthcare_30cm_count,RP500_female_pop_30cm,RP500_children_u5_30cm,RP500_female_u5_30cm,RP500_elderly_30cm,RP500_pop_u15_30cm,RP500_female_u15_30cm,RP500_education_30cm_pct,RP500_education_30cm_count,RP500_hospitals_30cm_pct,RP500_hospitals_30cm_count,RP500_primary_healthcare_30cm_pct,RP500_primary_healthcare_30cm_count
PH01028,PH01028,38305,6544,3124,6295,19296,9371,8,41,0,0,4,1,57070,9775,4675,9411,28833,14009,14,65,0,0,7,2,65401,11210,5363,10785,33070,16070,15,72,0,0,11,3,84979,14544,6960,13974,42806,20802,20,98,13,3,22,6
PH01029,PH01029,41434,6578,3173,7083,20225,9780,8,45,0,0,7,1,55476,8891,4294,9468,27280,13208,9,55,4,1,7,1,60151,9658,4666,10255,29618,14343,11,65,4,1,14,2,72414,11706,5655,12291,35828,17352,14,81,26,6,14,2
PH01033,PH01033,19590,3899,1850,2833,11470,5531,3,13,0,0,0,0,30255,5995,2848,4344,17624,8499,5,24,0,0,0,0,33476,6614,3142,4816,19450,9378,6,26,0,0,3,1,38414,7549,3585,5530,22203,10706,7,31,0,0,3,1
PH01055,PH01055,367478,77155,37939,44800,225847,110978,12,193,14,9,12,14,519320,109126,53634,63181,319047,156752,20,309,29,18,26,30,559203,117546,57774,68052,343627,168834,21,335,33,21,31,36,623322,131062,64408,76032,383154,188224,24,379,36,23,37,43
PH02009,PH02009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH02015,PH02015,174410,37807,17719,24754,109636,52830,26,237,37,11,28,10,227707,49250,23103,32149,143609,69217,38,349,47,14,33,12,243089,52592,24685,34114,153641,74058,40,367,47,14,33,12,271632,58663,27555,37763,171895,82870,44,407,50,15,36,13
PH02031,PH02031,28857,6351,3020,2832,19270,9317,1,7,0,0,0,0,42591,9342,4450,4196,28392,13734,2,21,0,0,0,0,52710,11594,5534,5178,35261,17071,3,35,0,0,0,0,73018,16088,7691,7202,48992,23733,5,55,8,3,0,0
PH02050,PH02050,15532,3181,1499,1830,9329,4502,0,1,0,0,0,0,17432,3559,1678,2056,10434,5036,1,3,10,1,0,0,18352,3744,1765,2167,10973,5296,1,4,10,1,0,0,20858,4248,2001,2471,12445,6006,1,4,10,1,0,0
PH02057,PH02057,4057,929,453,375,2739,1332,0,0,0,0,0,0,5127,1173,572,475,3460,1683,0,0,0,0,0,0,5771,1314,641,540,3887,1892,0,1,0,0,0,0,6294,1434,700,588,4240,2064,1,2,0,0,0,0
PH03008,PH03008,19399,3734,1800,2176,10822,5288,0,1,0,0,0,0,22000,4231,2040,2447,12254,5990,0,1,0,0,0,0,22857,4405,2125,2524,12733,6224,2,4,0,0,0,0,27650,5384,2596,3026,15553,7596,3,7,0,0,0,0
PH03014,PH03014,211053,42256,20666,23240,119351,58389,10,85,5,5,3,4,272151,54516,26665,29684,153493,75115,16,140,6,6,6,8,301951,60593,29640,32631,170143,83289,19,166,10,10,8,11,370701,74914,36651,39059,208959,102334,23,202,23,23,22,29
PH03049,PH03049,111794,22721,11078,12601,66880,32663,3,30,0,0,0,0,144606,29436,14352,16251,86481,42237,4,40,0,0,0,0,153011,31144,15187,17204,91496,44688,4,45,0,0,0,0,175085,35645,17380,19676,104666,51116,5,55,3,1,2,1
PH03054,PH03054,346894,72749,35642,38097,204822,100114,18,168,19,15,17,94,396103,83062,40684,43518,233814,114271,24,228,26,20,24,134,409389,85874,42061,44947,241695,118127,27,256,28,22,28,152,436600,91653,44887,47841,257833,126011,31,290,36,28,34,186
PH03069,PH03069,64063,12496,6045,8062,36397,17704,4,29,3,1,4,3,83355,16324,7894,10372,47476,23082,7,46,3,1,7,5,92639,18128,8764,11526,52739,25634,8,51,3,1,7,5,110545,21630,10447,13735,62948,30575,10,65,3,1,7,5
PH03071,PH03071,11539,2448,1200,1182,7026,3429,1,3,0,0,0,0,11938,2530,1241,1230,7263,3545,1,3,0,0,0,0,11992,2542,1247,1236,7296,3561,1,3,0,0,0,0,12536,2655,1302,1299,7622,3720,1,3,0,0,0,0
PH03077,PH03077,1255,326,156,109,935,452,0,0,0,0,0,0,1571,409,195,136,1171,565,0,0,0,0,0,0,2024,529,252,173,1509,729,0,0,0,0,0,0,2239,585,279,194,1672,807,0,1,0,0,0,0
PH04010,PH04010,16936,3731,1809,2061,10395,5072,0,5,0,0,0,0,20566,4516,2188,2525,12622,6158,0,6,0,0,0,0,22643,4969,2407,2785,13905,6784,1,9,0,0,0,0,25591,5603,2713,3136,15706,7661,1,12,0,0,0,0
PH04021,PH04021,180364,36408,17657,15689,97046,47510,6,47,9,8,5,10,277821,56104,27227,23896,149343,73145,10,80,12,11,9,18,303846,61446,29819,26036,163413,80037,11,93,12,11,10,19,345471,70064,34008,29371,186072,91146,12,106,13,12,12,22
PH04034,PH04034,5405,1123,542,496,3129,1523,0,1,0,0,0,0,5493,1132,546,513,3152,1535,0,1,0,0,0,0,8350,1725,830,795,4818,2339,0,1,0,0,0,0,16525,3414,1639,1575,9526,4619,0,2,0,0,1,1
PH04056,PH04056,19199,4490,2187,1957,12754,6212,1,7,0,0,0,0,21795,5088,2478,2237,14461,7041,1,12,0,0,0,0,23941,5581,2718,2464,15872,7725,1,13,0,0,0,0,30112,7007,3410,3114,19943,9699,2,20,0,0,0,0
