ADM2_PCODE,ADM_PCODE,female_pop_rural,children_u5_rural,female_u5_rural,elderly_rural,pop_u15_rural,female_u15_rural,rural_pop_perc
PH01028,PH01028,41772,7468,3556,7403,22503,10896,14.83
PH01029,PH01029,30605,5416,2614,5489,16659,8094,9.71
PH01033,PH01033,11679,2253,1069,1830,6747,3260,3.69
PH01055,PH01055,81564,16624,8185,11565,48961,23994,5.21
PH02009,PH02009,2547,606,293,405,1736,829,40.63
PH02015,PH02015,99289,22113,10426,13171,65415,31536,17.84
PH02031,PH02031,139073,30470,14496,13997,92819,44838,18.26
PH02050,PH02050,45264,10098,4860,4877,30062,14620,23.71
PH02057,PH02057,15692,3499,1705,1498,10439,5092,18.48
PH03008,PH03008,29239,6163,2970,2538,17158,8330,7.7
PH03014,PH03014,22751,5046,2462,2306,14072,6874,1.47
PH03049,PH03049,106504,22034,10626,12137,64826,31367,9.58
PH03054,PH03054,61442,13271,6455,6328,36902,18015,4.93
PH03069,PH03069,68466,14493,7000,7925,42059,20386,10.44
PH03071,PH03071,45653,9318,4561,5101,26687,13014,10.63
PH03077,PH03077,28313,6956,3364,2850,20488,9957,27.49
PH04010,PH04010,32084,6893,3349,3873,19292,9427,2.35
PH04021,PH04021,11822,2461,1205,1264,6906,3395,0.56
PH04034,PH04034,26399,5492,2671,2741,15345,7497,1.54
PH04056,PH04056,100434,25292,12324,10115,72262,35224,11.11
PH04058,PH04058,26438,6200,3008,1960,16617,8119,1.87
PH05005,PH05005,40341,9589,4646,5035,28180,13622,7.09
PH05016,PH05016,33873,8512,4130,3497,24532,11879,13.52
PH05017,PH05017,146674,36588,17774,17437,106276,51686,15.01
PH05020,PH05020,20203,4730,2291,3389,14026,6804,20.43
PH05041,PH05041,114980,32033,15648,12338,88658,43454,29.34
PH05062,PH05062,48388,12142,5826,6251,35113,16947,14.3
PH06004,PH06004,10123,2117,1032,1514,6540,3190,3.78
PH06006,PH06006,28179,6532,3210,3994,18932,9288,11.89
PH06019,PH06019,50546,10012,4930,6671,32027,15728,15.66
PH06030,PH06030,38354,7755,3802,5545,23639,11588,3.67
PH06045,PH06045,268019,57234,27952,30679,177580,87268,19.1
PH06079,PH06079,12331,2371,1130,1702,7736,3727,14.79
PH07012,PH07012,99017,20817,10162,14809,62886,30868,19.57
PH07022,PH07022,52720,11567,5654,7112,33847,16571,2.22
PH07046,PH07046,123305,28061,13696,14569,85042,41721,21.96
PH07061,PH07061,4215,666,328,913,2173,1072,12.28
PH08026,PH08026,62298,14979,7224,9849,43986,21452,39.46
PH08037,PH08037,105363,24222,11769,13651,72732,35457,12.67
PH08048,PH08048,77800,21781,10632,9069,58857,28713,28.35
PH08060,PH08060,68656,18414,8980,8727,51168,24874,25.95
PH08064,PH08064,29494,5858,2841,5091,18122,8780,21.26
PH08078,PH08078,6685,1531,747,976,4577,2230,7.62
PH09072,PH09072,95553,23192,11334,8115,69399,34156,25.8
PH09073,PH09073,121963,27993,13746,10423,83262,41218,14.61
PH09083,PH09083,92059,23344,11511,7469,70036,34494,32.37
PH09097,PH09097,13907,3103,1522,1135,9140,4506,36.64
PH10013,PH10013,269912,68141,33608,20679,202633,99699,34.34
PH10018,PH10018,3138,646,313,513,1948,948,8.43
PH10035,PH10035,22600,5033,2514,1704,15292,7603,5.4
PH10042,PH10042,13367,2656,1294,1917,7991,3904,5.49
PH10043,PH10043,52381,11243,5486,5020,33305,16252,6.48
PH11023,PH11023,73276,16680,8119,6136,50998,24865,12.0
PH11024,PH11024,68314,14684,7233,6399,43412,21317,6.26
PH11025,PH11025,94962,22456,11102,9198,66668,32737,37.15
PH11082,PH11082,82927,19278,9459,7331,59016,28944,21.63
PH11086,PH11086,30036,7853,3884,1980,23094,11372,27.19
PH12047,PH12047,118353,28009,13789,10196,85177,41873,22.42
PH12063,PH12063,72757,18325,9110,4504,53023,26025,10.19
PH12065,PH12065,53572,12658,6268,4194,38413,18855,14.43
PH12080,PH12080,48041,12072,5984,3461,35514,17574,23.21
PH13039,PH13039,7,1,1,1,4,2,0.0
PH13074,PH13074,103,23,11,7,59,29,0.0
PH13075,PH13075,0,0,0,0,0,0,0.0
PH13076,PH13076,0,0,0,0,0,0,0.0
PH14001,PH14001,35284,6691,3236,6006,20688,9977,40.72
PH14011,PH14011,35396,7655,3682,3644,24286,11764,8.9
PH14027,PH14027,26594,6445,3145,2839,19201,9402,52.24
