ID,ADDRESS,NEIGHBORHOOD,CITY,SUBREGION,REGION,COUNTRYCODE,Longitude,Latitude,Match Score
1,106 Valero Street,Salcedo Village,Makati City,,NCR,PHL,121.020589026066,14.558667142472,84.64
2,Archbishop Reyes Avenue,,Cebu City,,R-VII,PHL,123.903215091716,10.319096795543,95.76
3,Pasong Tamo Extension,San Lorenzo Village,Makati City,,NCR,PHL,121.018240180211,14.54132945069,90.87
4,Shaw Boulevard,Barangay Pleasant Hill,Mandaluyong City,,NCR,PHL,121.041240741234,14.589249035386,94.51
5,Ayala Avenue,Ayala Center,Makati City,,NCR,PHL,121.020284452404,14.55730061151,89
6,6780 Ayala Avenue,,Makati City,,NCR,PHL,121.018717932058,14.558096627965,100
7,6788 Ayala Avenue,,Makati City,,NCR,PHL,121.017379174483,14.558459354825,100
8,Subangdaku,,Mandaue City,,R-VII,PHL,0.0,0.0,0
9,Lot 3,"Block 9, along 26th and 25th Streets, Bonifacio South, Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,80
10,J.P. Laurel Avenue,,Davao City,,R-XI,PHL,125.613141843149,7.07771597599,95.96
11,Filinvest Corporate City,"Alabang-Zapote Road corner North Bridgeway, Alabang",Muntinlupa City,,NCR,PHL,121.039341437183,14.422641216974,81.91
12,Barangays San Roque,"San Andres, Manghinao, & Sto. Domingo",Bauan,Batangas,R-IV,PHL,120.98561,13.7917023,80
13,Barangay Tambler,,General Santos City,,R-XII,PHL,125.142049154048,6.059019276156,82.84
14,AJMR Port Complex,Km. 20 Tibungco,Davao City,,R-XI,PHL,125.6444437,7.1958224,77.44
15,Industria corner Economia Street,,Bagumbayan,Quezon City,NCR,PHL,121.08192703737,14.60544620855,96.7
16,EDSA corner Cornell Street,Barangay Wack-Wack,Mandaluyong City,,NCR,PHL,121.054724576443,14.58304850598,96.41
17,Tulo,,Calamba City,Laguna,R-IV,PHL,121.1547242,14.2047764,88.33
18,2248 Pasong Tamo Extension,,Makati City,,NCR,PHL,121.021247489491,14.535731634198,92.57
19,Barangay Dolores and Banaba,,Porac,Pampanga,R-III,PHL,120.5546037,15.0927183,80
20,Km. 22,"East Service Road, South Super Highway, Brgy. Cupang",Muntinlupa City,,NCR,PHL,121.0375531,14.4334395,80
21,Barangay San Vicente,,Panabo City,Davao del Norte,R-XI,PHL,125.7110622,7.3000336,90
22,Calibutbut,,Bacolor,Pampanga,R-III,PHL,120.5872864,15.049021,94.48
23,968 Aurora Boulevard,,Cubao,Quezon City,NCR,PHL,121.053684621891,14.623242472067,97.08
24,Barangay Concepcion Grande,,Naga City,Camarines Sur,R-V,PHL,123.220080201593,13.62031376305,94.57
25,23 ADB Avenue,Ortigas Center,Pasig City,,NCR,PHL,121.059873831021,14.586253955302,98.04
26,EDSA and P. Tuazon Boulevard,,Quezon City,,NCR,PHL,121.052216815759,14.616485013012,100
27,Banawa Hills,,Barangay Labangon,Cebu City,R-VII,PHL,123.87,10.30444,76.41
28,Brgy. Pinagbuhatan,,Pasig City,,NCR,PHL,121.091376245404,14.555018882146,96.98
29,Aseana Avenue corner Macapagal Boulevard,Aseana City,Parañaque City,,NCR,PHL,120.990224993317,14.525254780671,92.93
30,Lot 13,"Bradco Avenue, Aseana Business Park",Parañaque City,,NCR,PHL,121.028933,14.4778938,75
31,Lot 17,"Bradco Avenue, Aseana City",Parañaque City,,NCR,PHL,121.028933,14.4778938,75
32,Lots 1&2,"Block 2, Phase 1, Filinvest Corporate City, Alabang",Muntinlupa City,,NCR,PHL,121.045957869505,14.413034462324,81.95
33,Madrigal Avenue,"Alabang Town Center, Barangay Ayala Alabang",Muntinlupa City,,NCR,PHL,121.024819669592,14.417145352419,84.92
34,1132 University Parkway,"North Bonifacio Triangle, Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,80
35,Archbishop Reyes Avenue,,Cebu City,,R-VII,PHL,123.903215091716,10.319096795543,95.76
36,Matina Town Square,Matina,Davao City,,R-XI,PHL,125.596980943586,7.062798714386,84.12
37,Ayala Avenue corner Salcedo and Amorsolo Streets,Barangay San Lorenzo,Makati City,,NCR,PHL,121.014100878782,14.558467510136,83.22
38,Barangay Zone 15,,Talisay City,Negros Occidental,R-VI,PHL,122.967328,10.7387188,84.55
39,Bay City Project,,Parañaque City,,NCR,PHL,121.028933,14.4778938,81.33
40,Loakan Road,,Baguio City,Benguet Province,CAR,PHL,120.61306,16.37389,95.79
41,8747 Paseo de Roxas,Salcedo Village,Makati City,,NCR,PHL,121.024242947355,14.557823336012,95.43
42,Barangay Maria Cristina,,Balo-i,Lanao del Norte,R-X,PHL,124.20396,8.16604,90.24
43,Maligaya,,Rosario,Batangas,R-IV,PHL,121.2798695,13.8108769,95.38
44,Aseana Business Park,,Parañaque City,,NCR,PHL,121.03084307711,14.462886078226,86.07
45,A.S. Fortune St.,Bakilid,Mandaue City,Cebu,R-VII,PHL,123.93833,10.33583,83.68
46,11th Avenue corner 30th Street,Bonifacio Global City,Taguig City,,NCR,PHL,121.053434769182,14.551000802103,99.45
47,Block 1,"30th Street corner 5th Avenue, Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,84.13
48,Barangay Mactan,Lapu-Lapu City,Island of Mactan,,R-VII,PHL,124.010877316435,10.308930097409,78.54
49,Sumulong Highway cor. G. Fernando,,Marikina City,,NCR,PHL,121.10179441101,14.635041996201,99.8
50,Yapak,"Boracay Island, Malay",Aklan,,R-VI,PHL,121.9145738,11.9890985,80
51,Sen. Gil Puyat Avenue,,Makati City,,NCR,PHL,121.027206103696,14.561780614697,96.86
52,Along C-5 Road,,Ugong Norte,Quezon City,NCR,PHL,121.070455,14.5978452,86.96
53,Barangay Tubtub,Brooke’s Point,Palawan,,R-IV,PHL,117.804654774655,8.777441324139,86.41
54,Lot 17,"Block 12, Ortigas Avenue cor. Roosevelt Street, Barangay Greenhills",San Juan City,,NCR,PHL,121.0483499,14.6035528,75
55,Barangay Agusan Canyon,,Manolo Fortich,Bukidnon,R-X,PHL,124.7993427,8.3201012,90.7
56,252 Sen. Gil Puyat Avenue,,Makati City,,NCR,PHL,121.027206103696,14.561780614697,91.58
57,Barangay Matina Aplaya,,Davao City,,R-XI,PHL,125.57967,7.04359,86.25
58,Batino,Parian and Barandal,Calamba City,Laguna,R-IV,PHL,121.125916,14.2006247,83.26
59,Capitol Complex,Cadlan,Pili,Camarines Sur,R-V,PHL,123.252264,13.595887,83.16
60,Barangay Mangilag Sur,,Candelaria,Quezon,R-IV,PHL,121.454851861504,13.931041500981,91.43
61,Filinvest Corporate City,Alabang,Muntinlupa City,,NCR,PHL,121.03818957701,14.419685610029,94.85
62,Canlubang,,Calamba City,Laguna,R-IV,PHL,121.077643,14.1941922,95.86
63,Punta & Tulo,,Calamba City,Laguna,R-IV,PHL,121.1300426,14.182214,90.34
64,Canlubang,,Calamba City,Laguna,R-IV,PHL,121.077643,14.1941922,95.86
65,Cogon West,,Carmen,Cebu City,R-VII,PHL,124.0155211,10.5886914,88.15
66,Barangay Caluangan,,Municipality of Magallanes,Province of Cavite,R-IV,PHL,120.7575,14.18833,78.33
67,Rosario,,Cavite,,R-IV,PHL,120.8554197,14.4159654,92.5
68,Bacao,,Gen. Trias,Cavite,R-IV,PHL,120.88339,14.40579,94.55
69,Barangay Sabang,,Naic,Cavite,R-IV,PHL,120.794463250909,14.313605909193,83.06
70,Barangays Mabolo,"Luz, Hipodromo, Carreta",and Kamputhaw,Cebu City,R-VII,PHL,123.90551,10.32577,75
71,Barangay Lahug,,Cebu City,,R-VII,PHL,0.0,0.0,0
72,Lahug and Apas,,Cebu City,,R-VII,PHL,123.89279,10.3343,81.67
73,Corner Mindanao and Bohol Streets,,Cebu Business Park,Cebu City,R-VII,PHL,123.904481718272,10.320136812665,94.57
74,Basak,Lapu-lapu City,Mactan,Cebu,R-VII,PHL,124.00706,10.30623,88.29
75,South Reclamation Project,,Cebu City,,R-VII,PHL,123.715110515002,10.56921486546,75.4
76,San Miguel,,Tarlac,,R-III,PHL,120.6118002,15.4616333,91.58
77,C. M. Recto Avenue and Corrales Street,,Cagayan de Oro City,,R-X,PHL,124.650471184706,8.485902393463,98.37
78,Kalayaan Avenue corner Salamanca Street,Barangay Poblacion,Makati City,,NCR,PHL,121.028389307218,14.564836809675,97.96
79,Barangay Kiwalan,,Iligan City,Lanao del Norte,R-X,PHL,124.266934542588,8.279961668879,89.33
80,Purok 3,,Tablon,Cagayan de Oro City,R-X,PHL,124.7186829,8.476735,89.23
81,KM 9.5,Barangay Sasa,Davao City,,R-XI,PHL,125.65322,7.13451,78.57
82,Sultan Street,Barangay Highway Hills,Mandaluyong City,,NCR,PHL,121.051798052642,14.581508242445,94.4
83,183 EDSA near corner Ortigas Ave.,Wack-Wack,Mandaluyong City,,NCR,PHL,121.058313120649,14.593227489196,92.12
84,Angeles City,Municipalities of Mabalacat and Porac,Pampanga and the Municipalities of Capas and Bamban,Tarlac,R-III,PHL,120.5939098,15.3411537,75
85,Clark Freeport Zone located at Angeles City and the Municipality of Mabalacat,,Pampanga,,R-III,PHL,0.0,0.0,0
86,San Antonio,,San Pascual,Batangas,R-IV,PHL,121.0183035,13.7890472,96.13
87,Barangay San Rafael,,Mandurriao,Iloilo City,R-VI,PHL,122.53556,10.71972,80
88,Juan Luna Avenue,Mabolo,Cebu City,Cebu,R-VII,PHL,123.911859678995,10.318882502764,96.11
89,Pearl Drive,Ortigas Center,Pasig City,,NCR,PHL,121.060532392692,14.58086667759,97.46
