ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,admin2_pcode,region_name,admin1_pcode
1,[24]7 Plaza  ,IT Center,Operating,"106 Valero Street, Salcedo Village, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
2,1 Nito Tower [formerly Mikado],IT Center,Operating,"Archbishop Reyes Avenue, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
3,2251 IT Hub,IT Center,Operating,"Pasong Tamo Extension, San Lorenzo Village, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
4,500 Shaw Zentrum,IT Center,Operating,"Shaw Boulevard, Barangay Pleasant Hill, Mandaluyong City ",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
5,6750 Ayala Avenue Building,IT Center,Operating,"Ayala Avenue, Ayala Center, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
6,6780 Ayala ,IT Center,Operating,"6780 Ayala Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
7,6788 Ayala Avenue Building  ,IT Center,Operating,"6788 Ayala Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
8,A. D. Gothong Information Technology Center ,IT Center,Operating," Subangdaku, Mandaue City",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
9,A.T. Yuchengco Centre [formerly RCBC Savings Bank Corporate Center],IT Center,Operating,"Lot 3, Block 9, along 26th and 25th Streets, Bonifacio South, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
10,Abreeza Corporate Center   ,IT Center,Operating,"J.P. Laurel Avenue, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
11,Aeon Center,IT Center,Operating,"Filinvest Corporate City, Alabang-Zapote Road corner North Bridgeway, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
12,AG&P Special Economic Zone,Manufacturing,Operating,"Barangays San Roque, San Andres, Manghinao, & Sto. Domingo, Bauan, Batangas",Bauan,Bauan,PH041006000,Batangas,PH041000000,Region IV-A,PH040000000
13,Agrotex Gensan Economic Zone,Agro-Industrial,Operating,"Barangay Tambler, General Santos City",General Santos City,General Santos City,PH126303000,South Cotabato,PH126300000,Region XII,PH120000000
