year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2025,PHL,Philippines,PH,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,Basilan,PH150700000,"215,817","216,989","432,806","29,285","26,910","24,058","21,019","20,712","19,805","16,752","12,112","10,042","9,107","7,740","6,321","4,801","3,052","2,014","1,213",874,"30,949","28,351","25,280","22,110","21,458","20,174","16,488","10,954","8,896","8,358","7,220","6,103","4,589","2,841","1,733",889,596,"60,234","55,261","49,338","43,129","42,170","39,979","33,240","23,066","18,938","17,465","14,960","12,424","9,390","5,893","3,747","2,102","1,470"
2025,PHL,Philippines,PH,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,Lanao del Sur,PH153600000,"641,491","618,876","1,260,367","83,805","77,433","69,685","62,893","62,739","60,555","51,138","36,650","30,788","29,091","24,653","19,537","14,353","8,383","5,096","2,851","1,841","88,541","81,536","73,144","60,688","59,763","56,783","46,519","30,596","25,382","24,962","21,869","18,572","13,710","8,053","4,792","2,464","1,502","172,346","158,969","142,829","123,581","122,502","117,338","97,657","67,246","56,170","54,053","46,522","38,109","28,063","16,436","9,888","5,315","3,343"
2025,PHL,Philippines,PH,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,Maguindanao,PH153800000,"737,178","758,543","1,495,721","95,167","88,725","80,592","70,679","70,471","68,529","58,454","40,933","35,109","35,420","30,435","23,581","17,316","10,132","6,125","3,385","2,125","100,551","93,540","84,870","76,169","76,076","73,432","60,498","38,544","31,858","31,790","28,048","24,216","17,925","10,226","5,953","3,033","1,814","195,718","182,265","165,462","146,848","146,547","141,961","118,952","79,477","66,967","67,210","58,483","47,797","35,241","20,358","12,078","6,418","3,939"
2025,PHL,Philippines,PH,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,Sulu,PH156600000,"515,736","499,120","1,014,856","65,262","61,787","57,029","45,648","46,961","46,805","42,077","29,550","25,141","25,020","21,889","18,516","13,864","7,947","4,632","2,321","1,287","68,953","64,876","59,786","44,152","45,319","44,769","39,464","25,336","20,991","21,278","19,138","17,067","12,902","7,662","4,392","1,991","1,044","134,215","126,663","116,815","89,800","92,280","91,574","81,541","54,886","46,132","46,298","41,027","35,583","26,766","15,609","9,024","4,312","2,331"
2025,PHL,Philippines,PH,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,Tawi-Tawi,PH157000000,"215,776","215,993","431,769","26,946","25,454","23,899","21,035","20,241","18,887","16,301","12,879","11,298","10,793","9,162","7,095","5,227","3,173","1,904",941,541,"28,471","26,811","25,052","21,162","20,673","19,502","16,254","11,356","9,784","9,843","8,591","6,986","5,140","3,205","1,874",841,448,"55,417","52,265","48,951","42,197","40,914","38,389","32,555","24,235","21,082","20,636","17,753","14,081","10,367","6,378","3,778","1,782",989
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Abra,PH140100000,"123,526","128,544","252,070","11,100","10,952","10,757","11,768","11,314","9,679","9,517","8,466","7,484","6,498","5,493","5,151","4,592","3,919","2,862","1,919","2,055","11,737","11,388","11,203","12,458","12,673","11,148","10,490","9,041","8,132","6,976","5,673","5,098","4,300","3,407","2,345","1,340","1,135","22,837","22,340","21,960","24,226","23,987","20,827","20,007","17,507","15,616","13,474","11,166","10,249","8,892","7,326","5,207","3,259","3,190"
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Apayao,PH148100000,"62,184","65,414","127,598","6,853","6,629","6,304","5,753","5,391","5,361","4,771","3,889","3,378","3,026","2,683","2,265","2,009","1,592","1,010",660,610,"7,237","6,889","6,553","6,112","6,086","5,959","5,279","4,173","3,582","3,279","2,852","2,390","1,890","1,375",871,491,396,"14,090","13,518","12,857","11,865","11,477","11,320","10,050","8,062","6,960","6,305","5,535","4,655","3,899","2,967","1,881","1,151","1,006"
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Benguet,PH141100000,"444,862","447,738","892,600","37,876","37,777","36,860","37,311","41,329","39,217","40,911","38,003","30,114","23,662","19,282","18,096","15,552","11,915","7,850","4,738","4,369","40,056","39,200","38,045","38,025","44,921","41,640","41,132","37,233","30,364","24,223","19,311","16,929","13,588","10,221","6,574","3,616","2,660","77,932","76,977","74,905","75,336","86,250","80,857","82,043","75,236","60,478","47,885","38,593","35,025","29,140","22,136","14,424","8,354","7,029"
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Ifugao,PH142700000,"105,685","111,204","216,889","11,884","11,677","11,029","9,909","9,068","8,692","8,802","7,458","5,790","4,743","3,800","3,565","3,129","2,514","1,612",973,"1,040","12,570","12,127","11,461","10,484","10,312","9,571","9,255","8,019","6,535","5,301","4,291","3,579","2,879","2,060","1,413",724,623,"24,454","23,804","22,490","20,393","19,380","18,263","18,057","15,477","12,325","10,044","8,091","7,144","6,008","4,574","3,025","1,697","1,663"
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Kalinga,PH143200000,"110,155","116,034","226,189","12,332","12,023","11,299","10,093","9,518","9,198","9,064","7,391","5,745","4,993","4,399","3,954","3,327","2,771","1,811","1,152","1,085","13,030","12,465","11,717","11,028","11,080","10,396","9,499","7,924","6,401","5,397","4,578","3,960","3,162","2,265","1,553",888,691,"25,362","24,488","23,016","21,121","20,598","19,594","18,563","15,315","12,146","10,390","8,977","7,914","6,489","5,036","3,364","2,040","1,776"
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Mountain Province,PH144400000,"77,182","81,753","158,935","8,480","8,334","7,874","7,088","6,665","6,217","6,346","5,429","4,152","3,453","2,919","2,645","2,333","1,991","1,312",907,"1,037","8,970","8,697","8,243","7,488","7,653","7,194","6,914","5,899","4,540","3,768","3,123","2,827","2,302","1,716","1,180",645,594,"17,450","17,031","16,117","14,576","14,318","13,411","13,260","11,328","8,692","7,221","6,042","5,472","4,635","3,707","2,492","1,552","1,631"
2025,PHL,Philippines,PH,MIMAROPA REGION,PH170000000,Marinduque,PH174000000,"122,167","126,002","248,169","13,876","13,361","12,325","10,545","9,953","10,518","9,030","6,195","5,462","5,412","5,304","5,034","4,310","3,826","2,910","2,107","1,999","14,665","14,206","13,109","10,969","10,290","11,120","9,862","6,977","5,707","5,778","5,336","5,040","4,120","3,511","2,470","1,618","1,224","28,541","27,567","25,434","21,514","20,243","21,638","18,892","13,172","11,169","11,190","10,640","10,074","8,430","7,337","5,380","3,725","3,223"
2025,PHL,Philippines,PH,MIMAROPA REGION,PH170000000,Occidental Mindoro,PH175100000,"259,908","276,860","536,768","30,821","30,552","29,130","24,077","20,892","20,551","19,131","15,534","13,559","12,002","10,912","9,527","7,772","6,086","4,115","2,845","2,402","32,571","32,929","31,645","26,875","21,197","20,555","20,203","16,982","15,023","13,516","12,413","10,460","8,426","6,211","3,920","2,285","1,649","63,392","63,481","60,775","50,952","42,089","41,106","39,334","32,516","28,582","25,518","23,325","19,987","16,198","12,297","8,035","5,130","4,051"
2025,PHL,Philippines,PH,MIMAROPA REGION,PH170000000,Oriental Mindoro,PH175200000,"465,475","480,699","946,174","52,172","51,758","49,421","41,580","37,192","38,696","35,302","27,969","24,310","22,255","20,105","17,713","14,748","12,293","8,715","5,861","5,385","55,198","55,116","52,597","43,081","38,454","39,570","37,373","29,428","24,987","23,468","21,176","18,318","14,890","11,219","7,685","4,501","3,638","107,370","106,874","102,018","84,661","75,646","78,266","72,675","57,397","49,297","45,723","41,281","36,031","29,638","23,512","16,400","10,362","9,023"
2025,PHL,Philippines,PH,MIMAROPA REGION,PH170000000,Palawan,PH175300000,"633,986","669,597","1,303,583","73,710","71,231","66,587","60,591","55,689","54,031","50,008","39,354","34,033","28,917","25,447","21,564","18,236","14,023","9,350","6,059","5,156","77,911","76,460","71,821","62,188","55,677","54,248","50,612","42,450","37,137","33,119","29,052","24,416","20,422","15,090","9,385","5,588","4,021","151,621","147,691","138,408","122,779","111,366","108,279","100,620","81,804","71,170","62,036","54,499","45,980","38,658","29,113","18,735","11,647","9,177"
